ESG_Environmental,ESG_Governance,ProfitMargin,CarbonEmissions,InvestorType
0.5760000000000001,0.778,0.36,0.0004089283076045187,2
0.6509999999999999,0.735,0.37142857142857144,0.00038157978209824077,2
0.668,0.746,0.36,0.0004015726339207223,2
0.6829999999999999,0.7809999999999999,0.36142857142857143,0.0004183373493931509,2
0.7070000000000001,0.78,0.3571428571428571,0.0004762783852312431,2
0.611,0.705,0.26999999999999996,0.0023657068880761026,1
0.614,0.705,0.2542857142857143,0.0026043869099176,1
0.617,0.706,0.2614285714285714,0.002198764990510834,1
0.631,0.6779999999999999,0.3028571428571428,0.002310875125021937,1
0.642,0.679,0.2814285714285714,0.002193088264698575,1
0.629,0.6609999999999999,0.27999999999999997,0.002347436567432738,1
0.667,0.6779999999999999,0.29714285714285715,0.002219170893225605,1
0.6659999999999999,0.7000000000000001,0.2757142857142857,0.0026476116457395103,1
0.654,0.687,0.26857142857142857,0.0027728631380156184,1
0.658,0.703,0.25142857142857145,0.003165330822771049,1
0.07,0.335,0.40714285714285714,0.0016405519680891417,3
0.188,0.302,0.3871428571428571,0.0024374152964607996,3
0.20199999999999999,0.329,0.4014285714285714,0.002574480836680166,3
0.23399999999999999,0.315,0.43285714285714283,0.00266095110944806,3
0.244,0.349,0.4514285714285714,0.0028974915870992797,3
0.9890000000000001,0.19899999999999998,0.6442857142857144,0.0012695242990737833,3
0.742,0.374,0.5371428571428571,0.0003201956649613502,3
0.747,0.396,0.57,0.0003055080903069826,3
0.758,0.418,0.6085714285714285,0.00032908665970761425,3
0.77,0.40700000000000003,0.59,0.00032293745122000204,3
0.755,0.425,0.5614285714285714,0.0003943447385705118,3
0.785,0.413,0.5614285714285714,0.00036524495652330314,3
0.784,0.423,0.5728571428571428,0.0003624486911301766,3
0.765,0.413,0.5985714285714285,0.00039527682703488726,3
0.804,0.418,0.6071428571428571,0.00037735418232244283,3
0.821,0.433,0.6057142857142856,0.00035499297394489033,3
0.561,0.7220000000000001,0.2714285714285714,0.012314604211871428,1
0.603,0.7000000000000001,0.22857142857142856,0.011563388455011226,1
0.6,0.675,0.16857142857142857,0.011424709341881691,1
0.623,0.701,0.16428571428571426,0.01176203126566244,1
0.64,0.733,0.12285714285714283,0.011421808080338488,1
0.642,0.7290000000000001,0.16428571428571426,0.010963887182365767,1
0.684,0.721,0.17285714285714282,0.011737397782112436,1
0.6809999999999999,0.7120000000000001,0.14571428571428569,0.012897585429884735,1
0.622,0.7070000000000001,0.16285714285714287,0.014034764062844091,1
0.682,0.736,0.14285714285714285,0.014116441162307933,1
0.7270000000000001,0.461,0.41428571428571426,0.0034408199194527773,3
0.45,0.64,0.34857142857142853,0.0021994543991943677,1
0.484,0.596,0.35,0.00284748172271098,1
0.5720000000000001,0.616,0.26285714285714284,0.003984307727090829,1
0.618,0.613,0.2614285714285714,0.003038695560479285,1
0.64,0.604,0.29857142857142854,0.0026173083700852706,1
0.663,0.611,0.29428571428571426,0.002116298438861969,1
0.6890000000000001,0.615,0.3385714285714286,0.0018587052425903061,1
0.713,0.628,0.35285714285714287,0.00114819134236098,1
0.915,0.28,0.44,0.00031814328738623217,3
0.891,0.268,0.42999999999999994,0.00038904342352126883,3
0.885,0.257,0.4214285714285714,0.00041555891353494334,3
0.8740000000000001,0.259,0.42714285714285716,0.0004187890309444316,3
0.87,0.27399999999999997,0.4942857142857142,0.0003909442500495755,3
0.87,0.29,0.5642857142857143,0.0003985307171576009,3
0.877,0.284,0.55,0.00037358026409792564,3
0.873,0.336,0.5628571428571428,0.00034867636593498324,3
0.886,0.33299999999999996,0.5385714285714285,0.00036727653297434894,3
0.8790000000000001,0.303,0.5485714285714285,0.00037765233176747685,3
0.828,0.33299999999999996,0.4357142857142857,0.0006618561089057153,3
0.851,0.321,0.47428571428571425,0.0007898791033320065,3
0.8620000000000001,0.33,0.48857142857142855,0.0008371551056993963,3
0.887,0.34,0.44999999999999996,0.0009197642936276133,3
0.895,0.35700000000000004,0.4385714285714285,0.0010473673034535908,3
0.909,0.365,0.4257142857142857,0.0011764848332179636,3
0.907,0.402,0.45285714285714285,0.0011579005146540816,3
0.242,0.34500000000000003,0.39285714285714285,0.005584576832619691,3
0.763,0.28,0.6442857142857144,0.003739803390509132,3
0.804,0.325,0.6271428571428571,0.004044905363631849,3
0.8109999999999999,0.34299999999999997,0.69,0.004315262525846065,3
0.469,0.555,0.49,0.010438962892167527,3
0.483,0.551,0.48857142857142855,0.010619475046865574,3
0.49600000000000005,0.593,0.5328571428571428,0.011117008218779674,3
0.522,0.593,0.5014285714285713,0.010450169745393824,3
0.516,0.613,0.5228571428571429,0.010475094444680838,3
0.546,0.64,0.4942857142857142,0.011207171186335232,3
0.6509999999999999,0.596,0.3114285714285714,0.057734377660965217,1
0.644,0.604,0.31999999999999995,0.06345357441593123,1
0.665,0.603,0.2714285714285714,0.06958603898919509,1
0.66,0.595,0.29857142857142854,0.07634526817505495,1
0.635,0.655,0.3271428571428571,0.0932261599064859,1
0.6609999999999999,0.688,0.28857142857142853,0.08980145887712959,1
0.919,0.113,0.5242857142857142,0.019819483368107627,3
0.918,0.151,0.4685714285714285,0.020105284869680547,3
0.9450000000000001,0.17300000000000001,0.4157142857142857,0.0214398701322034,3
0.919,0.182,0.39999999999999997,0.027088956203219394,3
0.23399999999999999,0.29300000000000004,0.4514285714285714,0.01978641552401123,3
0.255,0.327,0.5057142857142857,0.019511549470521944,3
0.272,0.348,0.6928571428571428,0.02022753109479309,3
0.29100000000000004,0.353,0.7385714285714285,0.02004415135656224,3
0.292,0.35000000000000003,0.6485714285714286,0.02087390324315139,3
0.269,0.35700000000000004,0.5457142857142857,0.018550443438065806,3
0.278,0.394,0.5228571428571429,0.016412101750865677,3
0.29600000000000004,0.389,0.4514285714285714,0.01688862281587776,3
0.289,0.38200000000000006,0.47857142857142854,0.012117904820526383,3
0.313,0.37700000000000006,0.5228571428571429,0.010658567292705153,3
0.7170000000000001,0.47700000000000004,0.4314285714285714,0.0011036056187069205,3
0.745,0.48,0.45999999999999996,0.001142598811574727,3
0.75,0.48200000000000004,0.5014285714285713,0.0012371092140613623,3
0.7340000000000001,0.483,0.48428571428571426,0.0013587987614725452,3
0.726,0.48100000000000004,0.5128571428571429,0.0014768401879333615,3
0.7190000000000001,0.461,0.5571428571428572,0.0016518400447522908,3
0.538,0.623,0.5685714285714285,0.0008209351815717143,3
0.848,0.435,0.5771428571428572,0.0034920798323448414,3
0.8540000000000001,0.43,0.5557142857142856,0.0038129252848010165,3
0.881,0.40399999999999997,0.5671428571428572,0.003882575372432289,3
0.865,0.401,0.5457142857142857,0.0037959436433204073,3
0.882,0.423,0.5457142857142857,0.00385793099305539,3
0.203,0.258,0.4371428571428571,0.005382721734093909,3
0.163,0.309,0.4414285714285714,0.005903794844749651,3
0.14400000000000002,0.36200000000000004,0.3871428571428571,0.0057406417233546655,3
0.107,0.35700000000000004,0.39428571428571424,0.006035359973446512,3
0.168,0.424,0.38999999999999996,0.004721349994220159,3
0.19399999999999998,0.445,0.39999999999999997,0.004912805521239588,3
0.226,0.494,0.4114285714285714,0.004343417342542568,3
0.225,0.526,0.42999999999999994,0.004280752470480664,3
0.9,0.294,0.48428571428571426,0.003507463749390767,3
0.8940000000000001,0.254,0.7771428571428571,0.00567623450951929,3
0.907,0.266,0.7785714285714285,0.005643136949531359,3
0.065,0.08800000000000001,0.49,0.008936661137840146,3
0.095,0.078,0.4871428571428571,0.009187488025610056,3
0.121,0.11599999999999999,0.5328571428571428,0.008304672471512875,3
0.113,0.086,0.5557142857142856,0.0073129432223036734,3
0.10099999999999999,0.071,0.5,0.0071202812300880615,3
0.109,0.087,0.4942857142857142,0.005171763667462271,3
0.12300000000000001,0.107,0.5657142857142857,0.0048779091592842765,3
