Rule_ID,D_r,E_r,C_r,Obsolescence,Surprise,AdaptiveScore,AdaptiveWeight,Status
622,-0.35696145656293343,6.158094888685357,-0.165152669518842,1.4089951906508953,6.158094888685357,2.9485189128222347,0.0,ADAPT
621,-0.33411963507784875,3.9139254724584114,-0.4578913438434039,0.7804786233842896,3.9139254724584114,1.7589599914988925,0.0,ADAPT
247,-0.19217263474574614,3.0304405776905163,-0.10674168278341045,0.6828815650403399,3.0304405776905163,1.440491709462969,0.0,ADAPT
612,-0.18499091601711307,2.8887679147134273,-0.1111664615444724,0.6481526342879604,2.8887679147134273,1.3703446129663173,0.0,ADAPT
549,-0.2501489577838989,2.641867521634401,-0.39066987047998586,0.5002621733426291,2.641867521634401,1.1607290537512294,0.0,ADAPT
609,-0.2391138721209635,2.472355546452676,-0.39289691144581845,0.46008619072147344,2.472355546452676,1.0781750773346424,0.0,ADAPT
597,-0.26726933520873625,2.347854502563906,-0.15393932290140455,0.4816614611134413,2.347854502563906,1.0686250867544178,0.0,ADAPT
596,-0.24442751372365157,2.312868225125888,-0.45241165094063174,0.4040072651154012,2.312868225125888,0.9822243213968732,0.017775678603126788,ADAPT
492,-0.12367891539197876,2.0505653327548035,-0.0771747836449237,0.46242790842947523,2.0505653327548035,0.9750692416181761,0.024930758381823903,ADAPT
594,-0.19637275586551797,2.0350973600819406,-0.38542460294203834,0.3633250003185961,2.0350973600819406,0.8720993403390813,0.12790065966091868,ADAPT
616,-0.21407187090976576,1.9623360633024045,-0.410449510637051,0.33445367043889696,1.9623360633024045,0.8250376862644981,0.17496231373550186,ADAPT
372,-0.18572837914395673,1.7529505451882121,-0.06251343061985981,0.3761771838560989,1.7529505451882121,0.8144148201531519,0.18558517984684808,ADAPT
525,-0.21453827970853112,1.8303072844256232,-0.4144445095626013,0.3003311237886227,1.8303072844256232,0.7579079448950286,0.24209205510497145,ADAPT
122,-0.18259782375119657,1.6711806010268893,-0.1289144152063919,0.3399170905173252,1.6711806010268893,0.7577122407740475,0.24228775922595247,ADAPT
121,-0.15975600226611184,1.644900553796023,-0.23365371466526014,0.3128727092161628,1.644900553796023,0.7240978476651685,0.2759021523348315,ADAPT
571,-0.1726323038152728,1.6680393048681055,-0.2859794096387896,0.3023568978535108,1.6680393048681055,0.7193667240705371,0.28063327592946286,ADAPT
397,-0.09899343608978492,1.5237714372867663,-0.09473715055969056,0.33251021265932273,1.5237714372867663,0.7134530719810144,0.2865469280189856,ADAPT
605,-0.1974276700072281,1.6568781545011333,-0.392359686651429,0.26677269946061904,1.6568781545011333,0.6809922380859024,0.31900776191409763,ADAPT
373,-0.16865928226767474,1.572315564595508,-0.27733497431088705,0.2815803270042366,1.572315564595508,0.6746592181531136,0.3253407818468864,ADAPT
517,-0.09218044892457364,1.4376300769936472,-0.11094180390318231,0.30862695604147283,1.4376300769936472,0.6680344752898846,0.3319655247101154,ADAPT
97,-0.09290570239699938,1.3271812940632026,-0.14348785871964687,0.27269693323663907,1.3271812940632026,0.6044922567524398,0.3955077432475602,ADAPT
574,-0.2446253101252222,1.480114899449497,-0.3619136923948505,0.21839397423235607,1.480114899449497,0.5884226990947303,0.41157730090526967,ADAPT
224,-0.1516316982164137,1.379066059212064,-0.35212643341342864,0.21882698189555544,1.379066059212064,0.5635934966985714,0.4364065033014286,ADAPT
124,-0.23174900857606123,1.4099583541668852,-0.3427591865439841,0.20886253976171,1.4099583541668852,0.5613521283034313,0.4386478716965687,ADAPT
604,-0.24426878821621834,1.4073703691892157,-0.40689405927054634,0.18905188042561277,1.4073703691892157,0.5408944727229167,0.4591055272770833,ADAPT
614,-0.23414210084197776,1.361656298414084,-0.3692980913868214,0.18955402654632125,1.361656298414084,0.5299681011498423,0.4700318988501577,ADAPT
544,-0.13010119361581587,1.224455377125096,-0.2954150305729747,0.19973478823407634,1.224455377125096,0.5058486325153503,0.4941513674846497,ADAPT
470,-0.03629686065365606,0.9565475530022025,0.05180800562620874,0.2430146744936888,0.9565475530022025,0.4821515627442394,0.5178484372557606,ADAPT
600,-0.26957940182461076,1.3181204772745165,-0.5176112055324387,0.1327324674793668,1.3181204772745165,0.4622625867979959,0.5377374132020041,ADAPT
471,-0.13119273672077986,1.1182869640494393,-0.34693977221668715,0.16003861377799306,1.1182869640494393,0.4396103547903529,0.5603896452096471,ADAPT
